metric,cases,total_ms,mean_ms,median_ms,p90_ms,min_ms,max_ms
full_wall_ms,36,1020056.453,28334.901,24908.092,45181.361,15594.508,57857.675
import_and_outer_ms,36,138517.424,3847.706,3047.571,7249.465,2835.273,7281.464
main_total_ms,36,881539.026,24487.195,20311.455,39261.412,12732.591,54003.223
environment_start_ms,36,98941.513,2748.375,2782.832,2960.63,2521.637,3341.475
agent_setup_ms,36,49301.958,1369.499,1326.447,1414.091,1275.058,1884.47
step_total_ms,36,678823.385,18856.205,15222.682,31550.744,7794.057,41736.252
action_parse_ms,36,916.061,25.446,21.274,43.98,10.215,79.73
tool_and_submission_ms,36,663507.597,18430.767,14815.927,30875.014,7604.768,40917.401
communicate_ms,36,307828.643,8550.796,6760.397,15009.075,3229.599,30535.263
history_integrate_ms,36,10472.018,290.889,222.343,555.061,109.032,674.789
environment_close_ms,36,24003.753,666.771,670.24,746.512,569.819,872.987
other_main_ms,36,30468.422,846.345,376.006,2029.106,70.248,7293.933
step_residual_ms,36,3927.709,109.103,90.465,207.248,45.164,399.82
