metric,cases,total_ms,mean_ms,median_ms,p90_ms,min_ms,max_ms
full_wall_ms,36,1119582.475,31099.513,26336.753,48307.418,16286.57,61998.091
import_and_outer_ms,36,148974.172,4138.171,3333.012,7429.317,3086.901,12354.083
main_total_ms,36,970608.307,26961.342,22181.791,42704.031,13199.669,58558.355
environment_start_ms,36,108346.489,3009.625,2912.562,3437.684,2461.092,3583.781
agent_setup_ms,36,53299.339,1480.537,1457.972,1538.557,1397.455,1795.721
step_total_ms,36,752872.682,20913.13,16765.661,35098.454,8546.799,45998.369
action_parse_ms,36,1081.788,30.05,23.808,56.404,10.555,112.845
tool_and_submission_ms,36,734951.73,20415.326,16266.143,34305.421,8322.265,45579.888
communicate_ms,36,342841.277,9523.369,7491.851,16571.425,3485.291,36115.141
history_integrate_ms,36,12132.338,337.009,296.599,637.434,143.078,767.647
environment_close_ms,36,22990.301,638.619,626.16,674.817,571.311,675.706
other_main_ms,36,33099.497,919.43,436.413,2364.826,78.852,7648.241
step_residual_ms,36,4706.826,130.745,105.477,297.412,50.757,369.421
