metric,cases,total_ms,mean_ms,median_ms,p90_ms,min_ms,max_ms
full_wall_ms,36,938435.42,26067.651,23409.314,39139.011,16202.044,54485.282
import_and_outer_ms,36,100272.106,2785.336,2541.174,2806.066,2358.565,10320.504
main_total_ms,36,838163.315,23282.314,19619.128,36588.874,13463.156,51934.178
environment_start_ms,36,94743.812,2631.773,2551.832,2815.626,2488.061,3318.41
agent_setup_ms,36,50073.28,1390.924,1340.338,1455.539,1286.649,1881.351
step_total_ms,36,643753.947,17882.054,14589.408,29801.152,7506.336,41050.135
action_parse_ms,36,777.605,21.6,17.809,35.874,9.968,71.073
tool_and_submission_ms,36,630941.161,17526.143,14223.996,29282.41,7334.677,40255.59
communicate_ms,36,272212.058,7561.446,5924.879,13662.083,2970.067,24081.101
history_integrate_ms,36,9071.624,251.99,215.418,507.439,103.287,551.737
environment_close_ms,36,24750.016,687.5,673.777,771.389,571.585,772.765
other_main_ms,36,24842.268,690.063,312.696,1735.466,61.734,5942.928
step_residual_ms,36,2963.557,82.321,71.97,152.364,35.844,225.822
