instance_id,status,full_wall_ms,main_total_ms,import_and_outer_ms,environment_start_ms,agent_setup_ms,step_total_ms,action_parse_ms,tool_and_submission_ms,communicate_ms,history_integrate_ms,environment_close_ms,other_main_ms,step_residual_ms,tool_calls,parse_calls,expected_replay_calls,autosubmit_calls,replay_complete
astropy__astropy-14995,PASS,21496.796,14071.048,7425.748,2751.503,1541.745,8568.967,11.393,8335.191,3582.516,172.257,1124.542,84.291,50.126,16,16,16,0,True
astropy__astropy-7746,PASS,23020.642,15618.9,7401.742,2984.502,1386.485,10136.683,11.253,9916.928,4725.37,155.573,1021.909,89.322,52.929,17,17,17,0,True
django__django-12915,PASS,25927.659,18523.533,7404.126,2902.399,1416.896,13060.092,14.239,12774.463,4947.892,204.843,971.247,172.899,66.547,23,23,23,0,True
django__django-13028,PASS,23749.336,20115.067,3634.268,2724.013,1428.869,14904.35,19.699,14300.04,5360.676,313.317,627.111,430.724,271.294,26,26,26,0,True
django__django-13321,PASS,18762.07,15565.282,3196.788,2623.322,1415.512,10692.318,12.839,10363.491,3441.447,254.749,626.439,207.692,61.239,20,20,20,0,True
django__django-14608,PASS,33967.856,30745.467,3222.388,2635.788,1384.846,24950.049,34.671,24391.69,7524.755,400.316,620.97,1153.815,123.372,51,51,51,0,True
django__django-14672,PASS,19458.772,15817.11,3641.662,2643.325,1438.488,10958.581,12.695,10735.473,3502.321,136.106,626.447,150.269,74.307,22,22,22,0,True
django__django-14855,PASS,24272.119,20390.553,3881.566,2644.61,1402.241,15269.594,19.491,14560.361,4629.099,574.683,574.793,499.316,115.059,29,29,29,0,True
django__django-16379,PASS,25041.494,17643.01,7398.484,2656.434,1407.327,12912.776,10.509,12634.893,6937.885,201.859,570.81,95.663,65.515,17,17,17,0,True
django__django-16820,PASS,36230.102,32459.966,3770.135,2640.949,1400.839,26199.02,44.295,25370.346,9047.205,567.855,626.744,1592.414,216.524,48,48,48,0,True
matplotlib__matplotlib-23314,PASS,22778.269,19340.149,3438.12,2808.858,1379.069,14427.778,14.636,14209.549,7168.759,141.589,573.926,150.518,62.004,23,23,23,0,True
matplotlib__matplotlib-24149,PASS,20294.929,16866.882,3428.047,2814.542,1393.33,11907.134,12.666,11655.816,5843.486,184.739,621.955,129.921,53.913,19,19,19,0,True
matplotlib__matplotlib-26011,PASS,22135.164,18369.315,3765.849,2797.199,1432.615,13337.344,13.318,13120.757,6358.124,146.41,670.645,131.512,56.859,21,21,21,0,True
mwaskom__seaborn-3407,PASS,53047.511,49889.849,3157.662,2373.564,1379.101,45132.073,26.835,44720.014,35325.806,279.347,624.065,381.046,105.877,32,32,32,0,True
pallets__flask-5063,PASS,25622.598,22512.016,3110.582,2338.554,1330.43,17778.797,22.956,17404.786,6505.761,248.066,573.615,490.62,102.989,37,37,37,0,True
pydata__xarray-4493,PASS,38493.674,35340.972,3152.703,2367.233,1488.585,29878.256,43.996,29369.964,15327.435,332.861,576.511,1030.386,131.435,49,49,49,0,True
