metric,cases,total_ms,mean_ms,median_ms,p90_ms,min_ms,max_ms
full_wall_ms,36,1115992.314,30999.787,27059.476,44675.889,19439.031,59273.365
import_and_outer_ms,36,204268.277,5674.119,7455.295,7483.68,3021.918,7513.032
main_total_ms,36,911724.039,25325.668,20759.065,40818.17,13043.344,56167.502
environment_start_ms,36,90683.059,2518.974,2450.568,2711.832,2334.057,2796.428
agent_setup_ms,36,49491.313,1374.759,1354.545,1448.278,1303.924,1559.074
step_total_ms,36,716693.279,19908.147,16020.685,33877.984,8184.229,45212.448
action_parse_ms,36,973.076,27.03,22.925,47.373,10.596,83.622
tool_and_submission_ms,36,699791.268,19438.646,15561.835,33106.312,7969.662,44811.889
communicate_ms,36,333467.626,9262.99,7265.702,16075.894,3358.733,35972.674
history_integrate_ms,36,11575.257,321.535,259.423,618.652,125.163,763.788
environment_close_ms,36,21780.091,605.003,620.755,646.976,521.239,722.271
other_main_ms,36,33076.299,918.786,412.224,2355.966,77.058,8193.435
step_residual_ms,36,4353.678,120.935,103.924,204.57,50.398,447.894
