instance_id,status,full_wall_ms,main_total_ms,import_and_outer_ms,environment_start_ms,agent_setup_ms,step_total_ms,action_parse_ms,tool_and_submission_ms,communicate_ms,history_integrate_ms,environment_close_ms,other_main_ms,step_residual_ms,tool_calls,parse_calls,expected_replay_calls,autosubmit_calls,replay_complete
astropy__astropy-14995,PASS,15914.722,12822.133,3092.589,2640.547,1628.08,7814.096,10.786,7626.461,3297.814,132.231,670.287,69.123,44.618,16,16,16,0,True
astropy__astropy-7746,PASS,16683.037,13838.623,2844.414,2624.529,1298.115,9218.578,10.68,9036.696,4308.574,123.379,620.745,76.655,47.823,17,17,17,0,True
django__django-12915,PASS,21055.73,17351.125,3704.605,3037.066,1332.982,12160.366,14.412,11917.816,4599.609,167.175,669.56,151.152,60.963,23,23,23,0,True
django__django-13028,PASS,22245.324,19023.324,3222.0,2809.267,1346.119,13875.357,18.737,13340.453,4980.488,268.133,620.031,372.55,248.034,26,26,26,0,True
django__django-13321,PASS,18071.546,15214.771,2856.774,3037.574,1350.026,9911.102,12.841,9628.45,3216.101,214.495,720.524,195.545,55.316,20,20,20,0,True
django__django-14608,PASS,31764.854,28908.887,2855.967,2809.021,1333.239,23130.364,33.453,22659.183,7066.831,330.652,672.891,963.372,107.076,51,51,51,0,True
django__django-14672,PASS,18014.272,15081.654,2932.618,2776.444,1344.08,10212.846,13.091,10022.408,3295.147,110.599,620.583,127.701,66.748,22,22,22,0,True
django__django-14855,PASS,22441.183,19481.492,2959.691,2790.841,1329.392,14237.592,18.817,13560.311,4352.858,525.415,670.389,453.277,133.049,29,29,29,0,True
django__django-16379,PASS,20122.444,17137.737,2984.707,2812.643,1350.349,12219.96,10.482,11986.326,6724.121,164.888,669.805,84.98,58.264,17,17,17,0,True
django__django-16820,PASS,33949.979,30816.048,3133.931,2792.913,1329.811,24418.64,36.931,23732.063,8538.868,488.311,671.079,1603.606,161.335,48,48,48,0,True
matplotlib__matplotlib-23314,PASS,25516.014,18292.104,7223.911,2957.248,1308.467,13230.249,14.29,13051.823,6581.376,107.833,670.539,125.6,56.303,23,23,23,0,True
matplotlib__matplotlib-24149,PASS,28049.549,15996.106,12053.442,2975.918,1318.664,10922.024,12.63,10717.803,5365.793,142.925,674.293,105.208,48.666,19,19,19,0,True
matplotlib__matplotlib-26011,PASS,24291.681,17080.343,7211.338,2931.802,1301.362,12016.078,13.334,11839.982,5875.785,111.332,719.677,111.424,51.43,21,21,21,0,True
